domain,step
Manual assembling of gingerbread houses,Prepare gingerbread dough and cut out house pieces
Supply Chain Management,Managing carrier relationships
Bobbin Lace,Create intricate patterns by interweaving threads on a pillow
Customer Service Call Handling,Processing orders
Soap Making,Experimenting with additives
Handmade Soap Wrapping,Selecting handmade soap bars
Fitness Training,Incorporating strength training
Handweaving Decorative Rugs,Thread warp
Soap Making (Cold Process),Maintaining soap-making equipment
T-shirt Quilting,Selling t-shirt quilts
Composting, Turn pile 
HVAC Maintenance,Clean filters
Retail Merchandising,Implementing promotional campaigns
Making Traditional Paper Lanterns,Make frame from bamboo or wire
Crafting Handmade Quill Pens,Select feather
Hairdressing,Clipping hair
Manual braiding of friendship bracelets,Cut floss into equal lengths
Building Handcrafted Fishing Rods,Select blank
Perfume Bottle Design,"Applying finishes (e.g., polishing, coating)"
Artisanal Mustard Making,Cook mixture to develop flavors
Taxidermy,Prepare hide with chemicals
Household Budgeting,Canceling unused memberships
Crafting Leather Bound Journals,Select leather and paper
Leather Bookbinding,Select leather and paper
Hand-crafting of leather journals,Select leather and paper
Hand-painted Miniatures,Apply detailed painting with fine brushes
Auto Body Repair,Assess damage
Handwriting letters,Stamp and mail
Basketry (With Live Materials),Harvest materials
Manual pruning of trees,Identify branches to be pruned
Fitness Training,Tracking workout logs
Soapstone Carving,Adding texture or patterns
Embroidery,Choosing embroidery hoop size
Ikebana (Japanese Flower Arranging),Place main stems to create structure
Traditional Bookbinding,Attach headbands
Crafting Custom Polymer Clay Jewelry,Design jewelry
Barista (Advanced),Create complex drink designs
Human Resources Administration,Providing employee support
Building Custom Skateboards,Attach grip tape
Making Hand-Painted Custom Skate Decks,Attach grip tape
Creating Hand-Thrown Pottery Mugs with Thumb Rests,Attach pulled handle with thumb rest
Bookbinding, Fold pages 
Manual stirring of cooking pots,Stir contents with spoon
Coopering (Barrel Making), Add hoops
Bookbinding,Researching historical techniques
Data Analysis,Documenting data analysis procedures
Herbal Medicine Preparation,"Prepare base for medicine (oil, alcohol, water)"
Crafting Wooden Toys (Articulated Figures),Sand and paint
Building a Custom Jewelry Making Workbench,Install drawers and organizers
Farming (Small-Scale), Process crops
Household Budgeting,Categorizing expenses
Business Expense Management,Categorizing expenses
Ship in a Bottle Building,Inspect for precision and placement
Creating Artisanal Chocolate-Covered Fruits,Place on wax paper to cool
Brewing Beer, Allow beer to condition and carbonate
Batik Fabric Dyeing,Apply wax on areas to retain first color
Stained Glass Crafting,Maintaining glass-cutting tools
Retail Sales,Assessing sales targets
Sourdough Starter Cultivation,Allowing mixture to ferment
Building a Portable Wood-Fired Grill,Weld
Pottery,Inspecting for cracks
Concrete Mixing,Inspecting for cracks
Music (Period Instruments),"Play historical instruments (lute, recorder, harpsichord, etc.)"
Childcare,Engaging in activities
Homemade Pasta Sauce Making,Cook ingredients to develop flavors
Crafting Bespoke Wooden Jewelry Boxes,Line with felt
Crafting Custom Silverware Chests with Felt Lining,Line with felt
Recruitment Process,Conducting background checks
Aquaponics, Maintain balance 
Crocheted Amigurumi,Photographing amigurumi for documentation
Hand-tying bouquets,Wrap with ribbon
Waitressing/Waiting, Present the check 
Vehicle Maintenance,Inspecting steering components
Furniture Refinishing,Strip old finish
Farm Harvesting,Scheduling pick-ups
Ice Sculpting,Detail with chisels
Forging Artisanal Door Handles,Detail with chisels
Glass Painting,Sealing painted glass with varnish or sealer
Crafting Leather-bound Photo Albums,Punch holes for binding
Leather-bound Photo Albums,Punch holes for binding
Building Custom Acoustic Guitars,Select woods
Medical Billing,Negotiating payment plans
Medical Billing and Coding,Negotiating payment plans
Candle Carving,Applying finishing touches
Egg Decorating (Pysanky),Buffing egg with oil or varnish
Retail Sales,Managing loyalty programs
Cookie Decorating,Filling piping bags or squeeze bottles with icing
Sculpture Modeling (Clay),Kneading clay to soften and remove air bubbles
Building a Deck,Design layout
Blacksmithing (Large Projects),Manipulate heavy metal
Camping Hike, Set up camp (refer to Camping above)
Folk Art Painting,Inspect for vibrancy and detail accuracy
Making Hand-Painted Silk Tapestries,Mount for hanging
Inventory Management,Negotiating terms
Restaurant Service,Refilling drinks
Batik,Remove wax to reveal design
Egg Decorating (Pysanky),Remove wax to reveal design
Legal Contract Management,Implementing contract risk management strategies
Tattooing, Sterilize equipment 
Lotion Making,Maintaining cleanliness of equipment and work area
Candle Making (Soy Wax),Maintaining cleanliness of equipment and work area
Baking,Gathering ingredients
Terrarium Making,Troubleshooting plant issues
Nail Art,"Preparing nails (e.g., cleaning, shaping, buffing)"
Soap Making,Melt ingredients 
Hand-crafting of wooden cutting boards,Sand surfaces smooth and round edges
Beeswax Wrap Making,Networking with other eco-friendly artisans
Packing for a Move,Declutter & donate
Making Hand-Forged Metal Candle Holders,Heat metal rod
Making Traditional Archery Bows,Tiller to curve evenly
Metal Casting,Create molds
Cheese Making,Aging cheese
Upholstery,Inspecting for quality
Leathercraft,Inspecting for quality
Blacksmithing,Inspecting for quality
Carpentry,Inspecting for quality
Shoe Repair,Inspecting for quality
Leatherworking,Inspecting for quality
Metalworking,Inspecting for quality
Welding,Inspecting for quality
Woodworking,Inspecting for quality
Furniture Refinishing,Inspecting for quality
Basket Weaving,Inspecting for quality
Knife Making,Inspecting for quality
Sewing,Inspecting for quality
Furniture Making,Inspecting for quality
Farm Harvesting,Inspecting for quality
Basket Weaving,Finishing top edge of basket
Fermentation,Sharing fermented foods with others
Crafting Handmade Dolls,Assemble and dress
Mural Painting,Inspect for visual impact and durability
Creating Custom Silk Lampshades,Cut and adhere fabric to frame
Manual kneading of dough,Form into ball
Candlestick Making,Sealing finished candlesticks
Sourdough Starter Cultivation,Storing starter in refrigerator
Crafting Personalized Leather Bookmarks,Punch hole at one end
Camping Hike, Enjoy the scenery 
Crochet Amigurumi Making,Embroidering embellishments or decorative elements
Manual Data Entry,Ensuring compliance
Manufacturing Assembly,Ensuring compliance
Crafting Bespoke Ceramic Mugs,Handle attachment
Nail Care,Shape nails 
Plumbing,Repairing/replacing components
Waitressing/Waiting, Refill drinks and water 
Saddle Making,Dye leather pieces
Photography Editing,Applying basic edits
Traditional Painting (Oil),Stretch canvas on frame
Crafting Custom Surf Wax,Melt beeswax with coconut oil
Silversmithing,Apply patina for aging effect (optional)
Manual creation of art,Frame finished piece
Crochet,Selling crochet items
Herbalism,Testing products
Horseback Riding,31
Metal Stamping Jewelry Making,Filling stamped impressions with ink or paint (optional)
Vehicle Maintenance,Cleaning upholstery
Building Birdhouses,Cut pieces according to design
Content Creation,Designing layouts
Graphic Design,Designing layouts
Traditional Tailoring,Sew lining and interfacing
Childcare,Attending professional development workshops
Education Planning,Attending professional development workshops
Photography Editing,Creating slideshows
Building Wooden Storage Boxes,Assemble with joints or screws
Social Media Management,Engaging with influencers
Bank Teller Transactions,Selling traveler's checks
Herbal Tea Blending,Monitoring inventory and restocking ingredients as needed
Landscaping,Weeding flowerbeds
Restaurant Service,Maintaining compliance with health codes
Inventory Replenishment,Ensuring stock availability for promotions
Making Traditional Archery Targets,Cover with burlap
Herbalism,Storing herbs
Playing a String Instrument (advanced - specific instrument),"Develop advanced bowing techniques ( spiccato, sautillé) "
"Curing Meat (e.g., Bacon, Jerky)", Prepare a curing brine or dry rub 
Customer Service Call Handling,Conducting customer outreach
Fishing,Removing hook
Fishing,Removing hook
House Cleaning,Cleaning air vents
Hotel Housekeeping,Cleaning air vents
Janitorial Services,Cleaning air vents
Handicrafts,Packaging
Bakery,Packaging
Sewing,Packaging
Jewelry Making,Packaging
Candle Making,Packaging
Baking,Packaging
Paper Making,Packaging
Soap Making,Packaging
Tea Blending,Packaging
Chocolate Making,Packaging
Hat Making,Packaging
Origami,Networking with other origami enthusiasts
Knitting, Bind off stitches 
Fruit Carving,Carving intricate patterns or shapes
Whittling,Sketch rough shape with pencil
Event Planning,Analyzing event success
Sewing,Creating pleats
Ceramic Pottery Glazing,Allowing kiln to cool gradually
Sculpture,Modeling clay
Recruitment Process,Checking references
Human Resources Administration,Checking references
Event Planning,Following up with attendees
Soap Dispenser Refilling,Cleaning soap dispenser
Leather Tooling and Carving,Use swivel knife for outline cuts
Clock Making (Mechanical),Calibrate movement
Sock Knitting,Labeling socks with size and care instructions
Kintsugi (Ceramic Repair with Gold),Apply lacquer to edges of pieces
Antique Restoration,Repair with period-appropriate techniques
Inventory Replenishment,Monitoring inventory trends
Hand-crafting of beaded jewelry,Finish ends securely
Beaded Jewelry Crafting,Finish ends securely
Pet Grooming,Applying pet-safe cologne
Household Budgeting,Estimating future expenses
Content Creation,Writing drafts
Creating Hand-Spun Cotton Yarn,Wash and set
Making Bespoke Candle Wax Melts,Add color and fragrance
Packing for a Move,Gather boxes & supplies
Surfing,Paddle out
Playing a Video Game (advanced - specific genre), Develop a competitive mindset 
Luthiery (Guitar Making),Shaping body/neck
Commercial Fishing,Set nets or longlines
Manual grooming of bonsai trees,Repot in appropriate soil
Playing a Sport (advanced - specific sport), Participate in practices and competitions 
Stone Masonry,Laying stones
Quilting,Design pattern
Stained Glass Making,Design pattern
Mosaic Making,Design pattern
Batik (Fabric Dyeing),Design pattern
Engraving (Metal),Design pattern
Weathervane Making,Design pattern
Rug Hooking,Design pattern
Marquetry (Wood Inlay),Design pattern
Creating Mosaics with Natural Stones,Design pattern
Hand Crafting Stained Glass Windows,Design pattern
Making Traditional Leather Armor,Design pattern
Creating Custom Stained Glass Lamps,Design pattern
Creating Hand-Sewn Fabric Totes,Design pattern
Making Custom Leather Wallets,Design pattern
Creating Bespoke Silk Scarves,Design pattern
Crafting Handwoven Bead Necklaces,Design pattern
Making Traditional Fisherman Sweaters,Design pattern
Creating Hand-Painted Tote Bags,Design pattern
Crafting Hand-Painted Silk Ties,Design pattern
Making Hand-Woven Picnic Blankets,Design pattern
Making Hand-Crocheted Tablecloths,Design pattern
Making Bespoke Beaded Curtains,Design pattern
Making Handwoven Cotton Dish Towels,Design pattern
Making Hand-Crafted Beaded Door Curtains,Design pattern
Crafting Artisan Macramé Plant Hangers,Design pattern
Creating Hand-Embossed Greeting Cards,Design pattern
Creating Beaded Sun Catchers,Design pattern
Crafting Bespoke Beaded Evening Bags,Design pattern
Creating Custom Seed Bead Earrings,Design pattern
Making Hand-Knotted Macramé Wall Hangings with Natural Fibers,Design pattern
Crafting Artisanal Hanging Macramé Fruit Baskets,Design pattern
Crafting Bespoke Beaded Watch Straps,Design pattern
Stained Glass Crafting,Design pattern
Custom Wool Blankets,Design pattern
Tiling,Spread adhesive
Book Restoration, Mend tears 
Seed Saving,Allowing plants to fully ripen seeds on the plant
Repurposing Old Items,Creatively transform discarded objects into new furniture/decor
Supply Chain Management,Maximizing warehouse efficiency
Rock Climbing, Communicate with belayer 
Hand-rolling dough for dumplings,Divide dough into small portions
Manual roasting of vegetables,Roast in oven until tender and caramelized
Manual roasting of vegetables,Roast in oven until tender and caramelized
Charcoal Making (Traditional),Build wood pile
Bank Teller Transactions,Providing account statements
Janitorial Services,Scrubbing floors
Making Hand-Painted Silk Scarves with Natural Dyes,Paint or dip-dye silk
Making Hand-Tufted Throw Pillows,Stretch fabric
Creating Hand-Tufted Decorative Pillows,Stretch fabric
Paper Quilling,Networking with other quillers
Homemade Condiment Creation,Inspect for consistency and shelf stability
Crochet Amigurumi Making,Selling amigurumi online or at craft fairs
Artisanal Chocolate Sculpting,Sculpt chocolate by hand or in molds
Cleaning Services,Inspecting for missed spots
Historic Ship Model Building,Carve hull from wood block
Boat Restoration (Wooden),Repair sails & rigging
Manual Data Entry,Monitoring data quality
Data Analysis,Monitoring data quality
Egg Decorating (Pysanky),Researching traditional pysanky designs
Manual grinding of coffee beans,Store ground coffee in airtight container
Traditional Plastering,Smooth for finish
Fixing a Flat Tire, Remove flat tire 
Manual tying of fishing flies,Select appropriate materials for desired fly pattern
Crafting Leather Masks,Transfer to leather
Event Planning,Planning menus
Catering Service,Planning menus
Event Planning,Planning menus
Wrought Iron Crafting,Weld pieces together as needed
Quality Assurance in Manufacturing,Reviewing quality metrics
Creating Custom Bath Mats with Pebble Design,Apply sealant for water resistance
Crafting Custom Leather Guitar Picks,Cut leather into pick shape
Manual baking of bread,Allow dough to rise
Manual rolling of doughnuts,Allow dough to rise
IT Support,Configuring email clients
Technical Support,Configuring email clients
Restaurant Service,Handling walk-in guests
Printmaking (Linocut),Design image
Photography Editing,Printing photos
Wire Sculpture,Soldering wire joints
Soap Making, Let cure 
Textiles (Handloom Weaving),Set up & operate a floor loom
Soapstone Carving,Refining details
Soap Carving,Refining details
Recruitment Process,Creating talent pipelines
Fitness Training,Tracking body composition changes
Coppersmithing,Solder pieces if necessary
Crafting Decorative Wool Felt Mobiles,Hang from frame
Education Planning,Incorporating technology
E-commerce Order Fulfillment,Expanding product offerings
Knife Sharpening,Testing edge
Quilting,Sewing blocks together
Windsor Chair Making,Carve seat from hardwood
Handcrafting wooden furniture,Sand and finish surface
Painting,Layering paint
Shoe Making (Traditional),Punch holes for sewing or lacing
Building Custom Picnic Baskets,Attach handles and lining
Icon Painting (Traditional),Paint using egg tempera technique
Taxidermy,Positioning eyes
Leather Tooling,Networking with other leatherworkers
Leather Dyeing,Networking with other leatherworkers
Leather Belt Making,Networking with other leatherworkers
Leather Tooling,Networking with other leatherworkers
Knitting,Blocking finished pieces
Crochet,Blocking finished pieces
E-commerce Order Fulfillment,Negotiating shipping rates
Manufacturing Assembly,Testing prototypes
Legal Case Management,Drafting legal documents
Quilting,Quilt the layers
Windsor Chair Making,Assemble chair with waterproof glue
Beekeeping,Checking for signs of disease
Wooden Toy Carving,Carve out rough shape with saws and chisels
Manufacturing Assembly,Conducting team meetings
Hand harvesting crops,Sort harvested crops
Janitorial Services,Cleaning outdoor areas
Handcrafted Fishing Rods,Glue strips for rod blank
Hand-rolling of croissants,Roll triangles into crescent shapes
Manual shaping of croissants,Roll triangles into crescent shapes
Handbound Leather Sketchbooks,Cut leather for cover and paper for pages
Hand Carving Wooden Salad Bowls,Apply food-safe finish
Making Hand-Carved Wooden Spoons and Forks,Apply food-safe finish
Creating Hand-Engraved Wooden Bowls,Apply food-safe finish
Hand-carving of wooden spoons,Apply food-safe finish
Creating Custom Etched Glassware,Design etching
Creating Custom Etched Wooden Cutting Boards,Design etching
Tie Dyeing,Rinsing excess dye
Batik Fabric Dyeing,Rinsing excess dye
Building a Fire (Campfire - advanced)," Build a fire using specific techniques (tepee, log cabin) "
Hand-tufted Rugs,Cut yarn to even length
IT Support,Certifying in new technologies
Technical Support,Certifying in new technologies
Birdhouse Making,Hanging birdhouse
Hotel Housekeeping,Reporting damages
Farrier,Fit shoes to hooves
Content Localization,Localizing images
Crafting Handmade Dolls,"Select materials (fabric, yarn, etc.)"
Floral Design (Large Scale),"Create centerpieces, bouquets, arches, etc"
Bartending,Learn cocktail recipes 
Home Repair,Fixing electrical issues
Marbling,Drying marbled paper
Hand-Sewing Clothing Repair,Positioning patch behind damaged area
Hand-braiding hair,Cross strands over each other in sequence
Manual braiding of rope,Cross strands over each other in sequence
Hand-braiding of rope,Cross strands over each other in sequence
Construction,Roofing structures
Hand-sewn Quilting,Quilt layers together
Custom Surfboard Shaping,Cut rough shape with saws
Perfume Bottle Design,Storing bottle designs
Food Preparation,Emulsifying dressings
Traditional Canoe Building,Seal seams with pitch or resin
Household Budgeting,Setting financial goals
Hair Styling,Wash 
Building Handcrafted Birdhouses from Recycled Wood,Paint with eco-friendly paint
Building a Rustic Birdhouse with Recycled Wood,Paint with eco-friendly paint
Fermentation,Tasting
Food Preservation (Drying), Dehydrate using dehydrator or oven on low heat 
Scrapbooking,Applying adhesive
Clay Sculpting,Building armature for support (if needed)
Paper Mache, Paint and decorate
Event Planning,Welcoming guests
Traditional Tailoring (Bespoke Suits),Draft individual pattern
Building a Portable Folding Camp Stool,Design stool
Building Wooden Children's Step Stools,Design stool
Building a Portable Fold-Up Meditation Stool,Design stool
Singing,Learn vocal techniques
Model Making,Cutting/Trimming
Bonsai Cultivation,Watering bonsai
Candle Making,Trim wick
Making Hand-Dipped Beeswax Candles,Trim wick
Creating Custom Aromatherapy Candles,Trim wick
Jewelry Repair,Solder broken chains
Catering,Shopping for ingredients
Embroidery,Selecting fabric
Sewing,Selecting fabric
Quilting,Selecting fabric
Doll Making,Selecting fabric
Upholstery,Selecting fabric
Batik Fabric Dyeing,Selecting fabric
IT Support,Setting up user profiles
Technical Support,Setting up user profiles
Decoupage,"Applying decoupage medium (e.g., Mod Podge)"
Leather Tooling,Applying finish or sealant to protect leather
Making Artisanal Fruit Jams,Test for setting
Glass Bead Making,Heat glass rods in torch
Typewriter Repair,Clean & repair vintage typewriters
Manual pinning of clothing alterations,Try on garment
Artisanal Liqueur Crafting,Strain out solids
Hand-Sewing Clothing Repair,Pressing repaired area with iron (if applicable)
Dry Stone Wall Building,Level each layer as wall rises
Creating Hand-Woven Beaded Bracelets on a Loom,Weave beads into pattern
Hand-painted Ceramic Tiles,Sketch designs on tiles
Mural Painting,Block in colors
Crafting Artisan Glass Paperweights,Incorporate bubbles or objects
Stone Carving,Sand and polish
Making Surfboards (Hand-Shaped),Sand and polish
Furniture Restoration, Reattach hardware 
Lotion Making,Adjusting pH and texture as needed
Data Analysis,Measuring correlations
Sculpting,Firing (if applicable)
Pottery,Buffing for shine
Business Expense Management,Exploring alternative suppliers
Herbal Balm Making,Strain herb particles
Making Custom Stenciled Doormats,Secure stencil
Origami Jewelry Making,Labeling jewelry
Metalworking (advanced),"Learn advanced metalworking techniques (forging, welding, etc.) "
Bread Baking,Brushing bread with butter or oil for shine (optional)
Basket Weaving,Weave sides
Traditional Sashiko Embroidery,Iron embroidery flat
Hand-twisting of pretzels,Roll each portion into long ropes
Manual rolling of gnocchi,Roll each portion into long ropes
Soap Making,Marketing and selling soap
Drawing,Select medium
Warehouse Operations,Recording receipt of goods
Inventory Management in Retail,Recording receipt of goods
Basket Weaving,"Select material (reed, bamboo, etc.)"
Pasta Making,Rolling out dough
Travel Planning,Booking accommodations
Dairy Farming,Labeling milk
Graphic Design,Understanding project requirements
Graphic Design,Understanding project requirements
Event Planning,Providing support services
Candle Making,Inspect for uniformity and quality
Traditional Tanning (Leather),Inspect for uniformity and quality
Manual lacing of corsets,Tighten and adjust lacing for desired fit
Customer Service Call Handling,Canceling subscriptions
Calligraphy,Adjusting pressure and angle for desired line thickness
Paper Cutting,Creating silhouettes
Hand-painting of ceramic tiles,Prepare ceramic tiles
Financial Planning,Offering insurance recommendations
Building a Modular Wine Rack System,Design system
Building a Customized Modular Shelving System,Design system
Business Expense Management,Training employees on fraud prevention
Paper Marbling,Prepare size 
Creating Hand-Painted Silk Pillows,Sew silk onto pillow forms
Sailing (advanced), Read weather patterns and adjust sail accordingly 
Bonsai Cultivation,Trimming leaves
Creating Bespoke Silver Cufflinks,Attach cufflink back
Perfume Making,Marketing perfume business
Birdhouse Making,Marketing birdhouse business
Terrarium Making,Repotting plants if necessary
Fire Performance,Perform with fire
Hand cutting hair,Section hair
Event Planning,Evaluating event ROI
Making Hand-Tufted Rugs,Design rug
Bread Baking,"Mixing flour, water, yeast, and salt"
Hand-tufted Rugs,Push yarn through fabric with tufting gun
Leather Belt Making,Allowing dye or finish to dry
Basket Weaving,Adding handle
Knife Making,Adding handle
Sugar Work,Create delicate showpieces
Hand-carving of wooden figurines,Carve wood using carving tools to shape and add details
Yarn Spinning,Ply threads
Laundry,Maintaining laundry equipment
Henna Tattooing,Offering aftercare instructions
Gift Wrapping, Fold sides in 
Soap Dispenser Refilling,Adding fragrance or essential oils (if desired)
Hotel Housekeeping,Arranging furniture
Embroidery,Transferring design onto fabric
Building Hand-Paddled Kayaks,Join sections
Cooking,Planning meals
Producing Hand-Carved Stone Planters,Chisel out interior
Concrete Work,Build forms
Bread Baking,Kneading dough until smooth and elastic
Sourdough Bread Making,Kneading dough until smooth and elastic
Baking Bread (Sourdough),Kneading dough until smooth and elastic
Manual arranging of fruit baskets,Select variety of fruits
Natural Dye Making,Chop or crush materials
Farming,Transporting to market
Building a Modern Minimalist Bookshelf,Assemble with clean lines
Glassblowing,Adding color
Creating Hand-Painted Holiday Ornaments with Acrylics,Choose ornaments
Crafting Personalized Slate Cheese Boards,Select slate piece
Crafting Personalized Slate Serving Trays,Select slate piece
Egg Decorating (Intricate),"Employ techniques like pysanky, etching, or beading on eggshells"
Incense Making,Kneading mixture into dough
Tattooing,Design tattoo 
Rustic Wood Sign Making,Inspect for rustic charm and legibility
Flower Arranging,Adding accents
Wire Sculpture,Twisting wire to secure joints
Metal Casting,Melt metal
Metal Casting,Melt metal
Crocheted Amigurumi,"Finishing touches (e.g., adding blush, surface crochet)"
Handwriting letters,Draft letter
Making Bespoke Wooden Chess Sets,Design pieces
Crafting Bespoke Wooden Jewelry,Design pieces
Building a Handcrafted Wooden Chess Set,Design pieces
Yoga,Learn poses (asanas)
Doll Making,Painting or embroidering features (if necessary)
Manual tending of bonfires,Gather wood
Childcare,Assisting with homework
Childcare,Assisting with homework
Home Repair,Fixing plumbing issues
Bread Making,Scoring dough
Making Handwoven Baskets from Recycled Plastic,Weave strips into desired shape
Scrapbooking,Cut and arrange paper backgrounds
Scrapbooking,Layout photos and items on pages
Nail Art,Creating designs using nail art brushes or tools
Hand Sewing and Embroidery,Pre-wash fabric to prevent shrinking
Herbal Medicine Making,Harvest herbs
Manual tying of fishing flies,Wrap thread onto hook shank and tie in materials
Jewelry Making,Polishing metal
Cigar Rolling,Maintaining rolling tools
Horseback Riding,36
Manual Data Entry,Analyzing trends
Customer Support Ticket Resolution,Requesting feedback on solutions
Prop Making,Work with a variety of materials
Hand-lettering of signage,Paint letters by hand using brush or marker
Calligraphy,Storing calligraphy supplies
Kite Making,Cutting kite frame components to size
Calligraphy,Erase guide lines
Soap Making (Cold Process),Allowing lye solution to cool
Button Making,Networking with other button makers
Photography,Planning shoot
Nail Art,Attending nail art competitions or conventions
Building a Handcrafted Stone Fire Pit,Install fire grate
Dyeing,Immerse fabric
Restaurant Service,Monitoring restroom cleanliness
Bricklaying,Mix mortar
Bricklaying,Mix mortar
Manual painting of murals,Paint mural using brushes and rollers
Ribbon Embroidery,Choosing ribbon widths and colors
Household Budgeting,Automating payments
Bicycle Repair,Replace chain
Making Handwoven Wool Blankets on a Loom,Select wool yarn
Pottery Glazing,Wiping away excess glaze
Fermentation,Skimming off any scum or mold
Welding,Cut to size
Crafting Artisan Bread Boards,Cut to size
Crafting Artisan Cutting Boards,Cut to size
Crafting Leather Bound Journals,Cut to size
Crafting Hand-Painted Playing Cards,Cut to size
Crafting Artisan Firewood Carriers,Cut to size
Building Rustic Log Candle Holders,Cut to size
Building a Customized Work-from-Home Desk,Cut to size
Building a Cedar Planter Box on Legs,Cut to size
Building a Modern Minimalist Bookshelf,Cut to size
Crafting Artisanal Maple Wood Cutting Boards,Cut to size
Building a Rustic Log Side Table,Cut to size
Crafting Custom Leather-bound Planners,Cut to size
Handcrafted Jewelry,"Select metal type (gold, silver, etc.)"
Mask Making,Sculpt form
Landscaping (Hardscaping),Install water features
Interior Design,Sourcing decor
Mandala Drawing,Selling mandala prints or merchandise
E-commerce Order Fulfillment,Providing tracking numbers
Playing a Video Game, Solve puzzles 
Fitness Training,Setting fitness goals
Food Preparation,Serving customers
Japanese Woodblock Printing,Print multi-color images
Beading,Packaging jewelry for sale or gifting
Origami Jewelry Making,Packaging jewelry for sale or gifting
Metal Stamping Jewelry Making,Packaging jewelry for sale or gifting
Metal Jewelry Soldering,Packaging jewelry for sale or gifting
Fly Tying,Building thread base on hook shank
Content Creation,Filming footage
Artisanal Marshmallow Making,Set until firm
Building a Customized Iron Fire Pit with Cut-Out Designs,Cut iron sheets
Animation,Animate keyframes
Upholstery,Restoring wooden parts
Manual Film Photography and Development,Fix image to make it permanent
Hand-forged Jewelry Making,Hammer metal into desired shape
Puppetry,Coordinate movement & voices
Decoupage Furniture Refinishing,Selecting furniture piece suitable for refinishing
Building Windmills (Model Making),Cut and assemble wood
Creating Custom Herb Drying Racks,Cut and assemble wood
Building Hand-Painted Bird Feeders,Cut and assemble wood
Crafting Bespoke Wooden Plant Stands,Cut and assemble wood
Building Customized Wooden Jewelry Organizers,Cut and assemble wood
Building a Portable Herb Garden Box,Cut and assemble wood
Building Wooden Storage Crates with Personalized Burned Design,Cut and assemble wood
Building a Handmade Pedalboard for Guitar Effects,Cut and assemble wood
Building a Portable Solar USB Charger Box,Cut and assemble wood
Building a Hand-Painted Decorative Garden Bench,Cut and assemble wood
Building a Miniature Greenhouse for Seed Starting,Cut clear plastic panels
Pet Grooming,Clip fur (if needed)
Sock Knitting,Selecting yarn suitable for socks
Hand-crafted Soap Making,Heat oils and fats to melt
Building Custom Bicycles,Tune and test
Building a Wooden Spice Shelf Organizer,Assemble shelves
Package Delivery,Confirming identity
Creating Artisanal Pâte de Fruit with Natural Fruit Puree,Coat with sugar
Manual stripping of wires,Strip insulation from wire ends
Kite Making,"Decorating kite sail (e.g., painting, applique)"
Building a Rustic Stone Fire Pit,Dig pit
Crafting Handmade Dolls,Design doll
Tie Dyeing,Touching up dye if needed
Hand brewing coffee,Place grounds in filter
Building Wooden Fruit Crates,Cut and assemble wood slats
